"Name","<-0.1","-0.1-0","0-0.05","0.05-0.1","0.1-0.15","0.15-0.2","0.2-0.25","0.25-0.3","0.3-0.35","0.35-0.4","0.4-0.45","0.45-0.5","0.5-0.55","0.55-0.6",">=0.6"
"1","A.J. Cole","0.145474746952599","0.0775020218838779","0.132173123009256","0.0994508006463472","0.111771722696618","0.095693665622835","0.0974881728723535","0.0940207993189583","0.054724294330484","0.0462040953862964","0.0254363040766009","0.00617717507328767","0.00523090740630192","0.00494876579527389","0.00370340492891028"
"2","A.J. Minter","0.0686031008852469","0.0836067963147573","0.101013222489914","0.116475894432943","0.142564791087575","0.0931541997929078","0.0993925094494051","0.100874904673818","0.0683110552030241","0.0594981242549909","0.0353217712125935","0.00815222888707313","0.00874842104646804","0.00910782205934682","0.00517515820993604"
"3","A.J. Puk","0.0351878157905426","0.0835916215313255","0.0750572015551428","0.0882469848507094","0.16883195677851","0.143953648327784","0.090788131023374","0.107464005206302","0.0783814175770682","0.072064277486311","0.0299848308787717","0.00695980863241508","0.00756861540929065","0.00755885902434645","0.00436082592810801"
"4","Aaron Altherr","0.0703324334053744","0.0705777897700826","0.0990247099586949","0.0965471117368852","0.121429487767164","0.103750105438504","0.102209626606343","0.110739321866191","0.075787626594964","0.0683958498806142","0.0406390004867571","0.0132188095897749","0.00938806807142471","0.009680150270884","0.00827990855634144"
"5","Aaron Barrett","0.0644109455843639","0.0700654704462707","0.0969563426956264","0.0999769343963099","0.128140700499039","0.097374903069485","0.104621586433919","0.109772402253514","0.0736993503428419","0.0722095591615088","0.0415109955555924","0.0120244137203689","0.0109263220512097","0.0109355885985865","0.00737448519136367"
"6","Aaron Brooks","0.0448986112647654","0.0597463171039808","0.0839196596617768","0.109876226799317","0.119624662291776","0.0993898804924448","0.116470590316816","0.134497713841908","0.0724269469068049","0.0838883454901979","0.0369046193637411","0.010386229342787","0.0121320887885165","0.0117299628878831","0.0041081454472837"
"7","Aaron Bummer","0.0427675035068696","0.0585049226330738","0.0737159715159951","0.0840784635514743","0.117281032519697","0.096975164634102","0.108282373131125","0.12195896500661","0.0790504524049604","0.105259781419799","0.0644750183083688","0.0111804045932091","0.0164092493529081","0.0129586351521747","0.0071020622696329"
"8","Aaron Loup","0.0634183106913405","0.0796127448551957","0.101484735074526","0.0948262987425923","0.122713757408281","0.108304046428194","0.109908842992658","0.0994167036887981","0.0738808803155086","0.0752991138344498","0.0384958306982633","0.00945195843282837","0.00808495914955749","0.0081608193030146","0.00694099838479234"
"9","Aaron Slegers","0.0838602586886983","0.0813974080402666","0.110197602909627","0.0961397817825241","0.122411357038979","0.104090681665001","0.100678524106241","0.106476035471072","0.067181920624537","0.0622734676920925","0.0340604344213135","0.0104787710841585","0.00798463188891023","0.00757435993107435","0.00519476465550556"
"10","Aaron Wilkerson","0.101392945095286","0.0918351397939239","0.11769850900169","0.107155475077154","0.128490557792474","0.0975982290828635","0.0933365980419079","0.0949735389052309","0.0581120467749094","0.055932146992209","0.0287436067409388","0.0074029631987562","0.00679686665765985","0.00646560531326373","0.00406577153173227"
"11","Adalberto Mejia","0.0786962821103355","0.0777378133334864","0.117595163813683","0.124489270851014","0.145305249906937","0.0910124276942874","0.0940542545463204","0.105113622721699","0.0571332377251603","0.0564096092990181","0.0274709286122024","0.0064113681488555","0.00727508682030889","0.00781718692089097","0.00347849749580107"
"12","Adam Cimber","0.054018181289027","0.0859938414969158","0.0840734298078056","0.137257086504372","0.117342841308431","0.104602538032949","0.113881532531076","0.121769861533586","0.0611319453778937","0.0659294031473164","0.0301557596489899","0.00553926594944058","0.00983625151276853","0.00563986010118689","0.00282820175824123"
"13","Adam Conley","0.11901027005682","0.094444441087084","0.134632388212665","0.115426773686065","0.121168603663212","0.0929402592312172","0.0904479395908733","0.089165178003877","0.0502249861699025","0.0479025564213777","0.024954209254317","0.00555302025913066","0.00572364330636291","0.00524866275914646","0.00315706829794912"
"14","Adam Kolarek","0.0491208019349577","0.0665134310329379","0.0816009516221446","0.0930004864055715","0.127259259774229","0.101467478434724","0.110313669904327","0.123752785661253","0.0743106758216837","0.0811954504923566","0.049909335906789","0.0121814858338012","0.0131279550215272","0.0102792842215515","0.00596694793214634"
"15","Adam Morgan","0.035001042850317","0.0558780691792089","0.0692191603431021","0.0740274685679279","0.129782034287654","0.101973827874138","0.15224435713038","0.155791338547852","0.0819462795566965","0.0623619185395966","0.0478889473457816","0.00889574495046028","0.0109137094285666","0.00861806760026913","0.00545803379804981"
"16","Adam Ottavino","0.0402814407207953","0.0605335755032688","0.0812786079701714","0.107578390826086","0.148896632546008","0.108189219760449","0.104610452125898","0.130060392434643","0.0735537522099624","0.0745841649843365","0.0307216330293759","0.0076838203087817","0.00973690431369409","0.0181933425924207","0.00409767067410933"
"17","Adam Plutko","0.0668477200838768","0.0721697173232273","0.0999674236864619","0.09579065804128","0.123012651043416","0.103457916344314","0.10109083784003","0.10891701423902","0.0742704741018979","0.0726963410661217","0.0410537909459141","0.0129214854428019","0.0099145558971474","0.0101253002558491","0.00776411368864219"
"18","Adam Warren","0.0736029581711608","0.0794912555325092","0.110183710256664","0.104108028414423","0.130229725315349","0.101792344034925","0.103210014060916","0.106112446103267","0.0640006982244628","0.0601374514777727","0.0359539398282568","0.00931168610274591","0.00875443230011601","0.00802835426881764","0.00508295590861402"
