Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,Eduardo Nunez,BOS,1,4,9,1,0,0,1,1,1,0,0,0,0,0.25,0.25,1,0.484883457,6848
2019,Ian Desmond,COL,1,4,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.304166347,6885
2019,Chase Anderson,MIL,10,43,4.5,10,2,0,5,5,3,4,1,0,13,0.256410256,0.325581395,0.538461538,0.3493066,6895
2019,Martin Perez,MIN,8.1,45,7.56,11,2,0,8,7,0,9,1,0,12,0.314285714,0.444444444,0.371428571,0.358686523,6902
2019,Joakim Soria,OAK,68,272,4.2353,49,6,1,32,32,8,20,1,3,77,0.198380566,0.264705882,0.327935222,0.255296475,6941
2019,Luis Garcia,LAA,60,271,4.35,59,5,0,34,29,12,33,1,5,56,0.256521739,0.359259259,0.434782608,0.340397753,6984
2019,Ian Kennedy,KCR,63.1,266,3.4105,64,7,0,24,24,6,17,1,1,73,0.261224489,0.311787072,0.363265306,0.291099103,6986
2019,Ryan Pressly,HOU,54.1,211,2.319,37,6,0,15,14,6,12,0,0,72,0.187817258,0.233333333,0.30964467,0.23314774,7005
2019,Caleb Joseph,ARI,1.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7087
2019,Pat Venditte,SFG,3.1,19,16.2002,4,0,0,6,6,1,2,0,3,2,0.285714285,0.47368421,0.5,0.425611515,7108
2019,Daniel Hudson,2 Tms,72,299,2.375,54,15,0,24,19,8,27,2,4,70,0.20610687,0.285234899,0.354961832,0.273170596,7146
2019,Jonny Venters,2 Tms,8,49,12.375,12,1,0,16,11,3,10,1,2,12,0.324324324,0.489795918,0.594594594,0.450901461,7175
2019,Greg Holland,ARI,35.2,152,4.5421,25,6,0,18,18,5,24,2,0,41,0.198412698,0.322368421,0.365079365,0.295725086,7196
2019,Craig Stammen,SDP,82,339,3.2927,80,17,1,36,30,13,15,2,2,73,0.250783699,0.286135693,0.43260188,0.29806966,7274
2019,Dan Otero,CLE,29.2,131,4.8539,42,7,0,17,16,6,3,0,1,16,0.330708661,0.351145038,0.527559055,0.367653945,7385
2019,Javy Guerra,2 Tms,67.2,287,4.6552,67,13,2,36,35,10,17,3,1,57,0.250936329,0.297202797,0.426966292,0.300978926,7407
